app_name,package_name
ebay,com.ebay.mobile
booking,com.expedia.bookings
youtube_kid,com.google.android.apps.youtube.kids
calendar,com.google.android.calendar
facebook,com.facebook.katana
calculator,com.google.android.calculator
chrome,com.android.chrome
firefox,org.mozilla.firefox
instagram,com.instagram.android
excel,com.microsoft.office.excel
mcdonalds,com.mcdonalds.app
authenticator,com.google.android.apps.authenticator2
Microsoft Excel,com.microsoft.office.excel
Duolingo,com.duolingo
Microsoft Authenticator,com.google.android.apps.authenticator2
Booking.com,com.expedia.bookings
YouTube Kids,com.google.android.apps.youtube.kids
Calculator,com.google.android.calculator
Facebook,com.facebook.katana
Spotify,com.spotify.music
